name;municipality_identifier;district_id
Joldelund;1054059-2;2
Seeth;1054119-2;2
Hennstedt;1051049-2;2
Lieth;1051067-2;2
Löwenstedt;1054079-2;2
Uphusum;1054142-2;2
Warwerort;1051121-2;2
Wobbenbüll;1054162-2;2
Büsum;1051013-2;2
Karolinenkoog;1051058-2;2
Tellingstedt;1051114-2;2
Hövede;1051052-2;2
Immenstedt;1054057-2;2
Oster-Ohrstedt;1054101-2;2
Vollerwiek;1054145-2;2
Blomesche Wildnis;1061012-3;3
Windbergen;1051134-3;3
Peissen;1061084-3;3
Busenwurth;1051017-3;3
Hardebek;1060033-3;3
Schafstedt;1051099-3;3
Tensbüttel-Röst;1051138-3;3
Hennstedt einschl. Gemeinde Wiedenborstel;1061036-3;3
Rethwisch;1061092-3;3
Schenefeld;1061097-3;3
Föhrden-Barl;1060021-3;3
Trennewurth;1051118-3;3
Neuenbrook;1061073-3;3
Aebtissinwisch;1061002-3;3
Oeschebüttel;1061080-3;3
Oelixdorf;1061079-3;3
Störkathen;1061103-3;3
Krempdorf;1061054-3;3
Ramhusen;1051090-3;3
Lockstedt;1061064-3;3
Rondeshagen;1053103-11;11
Schiphorst;1053109-11;11
Sirksfelde;1053121-11;11
Bliestorf;1053011-11;11
Siebenbäumen;1053118-11;11
Schönberg;1053112-11;11
Lübeck, Hansestadt (Wkr. 011);1003000-11;11
Labenz;1053079-11;11
Niendorf bei Berkenthin;1053094-11;11
Sierksrade;1053120-11;11
Groß Schenkenberg;1053044-11;11
Reinfeld (Holstein), Stadt;1062061-9;9
Kabelhorst;1055023-9;9
Mönkhagen;1062048-9;9
Wangels;1055043-9;9
Westerau;1062083-9;9
Timmendorfer Strand;1055042-9;9
Grömitz;1055016-9;9
Fehmarn, Stadt;1055046-9;9
Heilshoop;1062032-9;9
Manhagen;1055029-9;9
Ratekau;1055035-9;9
Ahrensbök;1055001-9;9
Eutin, Stadt;1055012-9;9
Gokels;1058061-4;4
Todenbüttel;1058164-4;4
Thaden;1058161-4;4
Beldorf;1058013-4;4
Osterstedt;1058125-4;4
Haßmoor;1058073-4;4
Timmaspe;1058163-4;4
Rade b. Hohenwestedt;1058131-4;4
Jahrsdorf;1058085-4;4
Luhnstedt;1058101-4;4
Kiel, Landeshauptstadt (Wkr. 005);1002000-5;5
Kronshagen;1058092-5;5
Altenholz;1058005-5;5
Salem;1053107-10;10
Trittau;1062082-10;10
Duvensee;1053025-10;10
Koberg;1053069-10;10
Hollenbek;1053054-10;10
Köthel;1062040-10;10
Buchholz;1053018-10;10
Harmsdorf;1053051-10;10
Albsfelde;1053001-10;10
Grönwohld;1062021-10;10
Lauenburg/ Elbe, Stadt;1053083-10;10
Aumühle;1053003-10;10
Tangstedt;1056047-7;7
Hemdingen;1056026-7;7
Bevern;1056003-7;7
Helgoland;1056025-7;7
Seester;1056033-7;7
Uetersen, Stadt;1056049-7;7
Halstenbek;1056018-7;7
Heidgraben;1056023-7;7
Kummerfeld;1056032-7;7
Pinneberg, Stadt;1056039-7;7
Osterhorn;1056038-7;7
Wahlstorf;1057084-6;6
Nehmten;1057053-6;6
Bendfeld;1057006-6;6
Hohenfelde;1057029-6;6
Blekendorf;1057007-6;6
Fargau-Pratjau;1057090-6;6
Preetz, Stadt;1057062-6;6
Tröndel;1057082-6;6
